"cp","chol","mthalach"
"typ_ang",120,60
"typ_ang",120,70
"typ_ang",120,80
"typ_ang",120,90
"typ_ang",120,100
"typ_ang",120,110
"typ_ang",120,120
"typ_ang",120,130
"typ_ang",120,140
"typ_ang",120,150
"typ_ang",120,160
"typ_ang",120,170
"typ_ang",120,180
"typ_ang",120,190
"typ_ang",120,200
"typ_ang",120,210
"typ_ang",120,220
"typ_ang",130,60
"typ_ang",130,70
"typ_ang",130,80
"typ_ang",130,90
"typ_ang",130,100
"typ_ang",130,110
"typ_ang",130,120
"typ_ang",130,130
"typ_ang",130,140
"typ_ang",130,150
"typ_ang",130,160
"typ_ang",130,170
"typ_ang",130,180
"typ_ang",130,190
"typ_ang",130,200
"typ_ang",130,210
"typ_ang",130,220
"typ_ang",140,60
"typ_ang",140,70
"typ_ang",140,80
"typ_ang",140,90
"typ_ang",140,100
"typ_ang",140,110
"typ_ang",140,120
"typ_ang",140,130
"typ_ang",140,140
"typ_ang",140,150
"typ_ang",140,160
"typ_ang",140,170
"typ_ang",140,180
"typ_ang",140,190
"typ_ang",140,200
"typ_ang",140,210
"typ_ang",140,220
"typ_ang",150,60
"typ_ang",150,70
"typ_ang",150,80
"typ_ang",150,90
"typ_ang",150,100
"typ_ang",150,110
"typ_ang",150,120
"typ_ang",150,130
"typ_ang",150,140
"typ_ang",150,150
"typ_ang",150,160
"typ_ang",150,170
"typ_ang",150,180
"typ_ang",150,190
"typ_ang",150,200
"typ_ang",150,210
"typ_ang",150,220
"typ_ang",160,60
"typ_ang",160,70
"typ_ang",160,80
"typ_ang",160,90
"typ_ang",160,100
"typ_ang",160,110
"typ_ang",160,120
"typ_ang",160,130
"typ_ang",160,140
"typ_ang",160,150
"typ_ang",160,160
"typ_ang",160,170
"typ_ang",160,180
"typ_ang",160,190
"typ_ang",160,200
"typ_ang",160,210
"typ_ang",160,220
"typ_ang",170,60
"typ_ang",170,70
"typ_ang",170,80
"typ_ang",170,90
"typ_ang",170,100
"typ_ang",170,110
"typ_ang",170,120
"typ_ang",170,130
"typ_ang",170,140
"typ_ang",170,150
"typ_ang",170,160
"typ_ang",170,170
"typ_ang",170,180
"typ_ang",170,190
"typ_ang",170,200
"typ_ang",170,210
"typ_ang",170,220
"typ_ang",180,60
"typ_ang",180,70
"typ_ang",180,80
"typ_ang",180,90
"typ_ang",180,100
"typ_ang",180,110
"typ_ang",180,120
"typ_ang",180,130
"typ_ang",180,140
"typ_ang",180,150
"typ_ang",180,160
"typ_ang",180,170
"typ_ang",180,180
"typ_ang",180,190
"typ_ang",180,200
"typ_ang",180,210
"typ_ang",180,220
"typ_ang",190,60
"typ_ang",190,70
"typ_ang",190,80
"typ_ang",190,90
"typ_ang",190,100
"typ_ang",190,110
"typ_ang",190,120
"typ_ang",190,130
"typ_ang",190,140
"typ_ang",190,150
"typ_ang",190,160
"typ_ang",190,170
"typ_ang",190,180
"typ_ang",190,190
"typ_ang",190,200
"typ_ang",190,210
"typ_ang",190,220
"typ_ang",200,60
"typ_ang",200,70
"typ_ang",200,80
"typ_ang",200,90
"typ_ang",200,100
"typ_ang",200,110
"typ_ang",200,120
"typ_ang",200,130
"typ_ang",200,140
"typ_ang",200,150
"typ_ang",200,160
"typ_ang",200,170
"typ_ang",200,180
"typ_ang",200,190
"typ_ang",200,200
"typ_ang",200,210
"typ_ang",200,220
"typ_ang",210,60
"typ_ang",210,70
"typ_ang",210,80
"typ_ang",210,90
"typ_ang",210,100
"typ_ang",210,110
"typ_ang",210,120
"typ_ang",210,130
"typ_ang",210,140
"typ_ang",210,150
"typ_ang",210,160
"typ_ang",210,170
"typ_ang",210,180
"typ_ang",210,190
"typ_ang",210,200
"typ_ang",210,210
"typ_ang",210,220
"typ_ang",220,60
"typ_ang",220,70
"typ_ang",220,80
"typ_ang",220,90
"typ_ang",220,100
"typ_ang",220,110
"typ_ang",220,120
"typ_ang",220,130
"typ_ang",220,140
"typ_ang",220,150
"typ_ang",220,160
"typ_ang",220,170
"typ_ang",220,180
"typ_ang",220,190
"typ_ang",220,200
"typ_ang",220,210
"typ_ang",220,220
"typ_ang",230,60
"typ_ang",230,70
"typ_ang",230,80
"typ_ang",230,90
"typ_ang",230,100
"typ_ang",230,110
"typ_ang",230,120
"typ_ang",230,130
"typ_ang",230,140
"typ_ang",230,150
"typ_ang",230,160
"typ_ang",230,170
"typ_ang",230,180
"typ_ang",230,190
"typ_ang",230,200
"typ_ang",230,210
"typ_ang",230,220
"typ_ang",240,60
"typ_ang",240,70
"typ_ang",240,80
"typ_ang",240,90
"typ_ang",240,100
"typ_ang",240,110
"typ_ang",240,120
"typ_ang",240,130
"typ_ang",240,140
"typ_ang",240,150
"typ_ang",240,160
"typ_ang",240,170
"typ_ang",240,180
"typ_ang",240,190
"typ_ang",240,200
"typ_ang",240,210
"typ_ang",240,220
"typ_ang",250,60
"typ_ang",250,70
"typ_ang",250,80
"typ_ang",250,90
"typ_ang",250,100
"typ_ang",250,110
"typ_ang",250,120
"typ_ang",250,130
"typ_ang",250,140
"typ_ang",250,150
"typ_ang",250,160
"typ_ang",250,170
"typ_ang",250,180
"typ_ang",250,190
"typ_ang",250,200
"typ_ang",250,210
"typ_ang",250,220
"typ_ang",260,60
"typ_ang",260,70
"typ_ang",260,80
"typ_ang",260,90
"typ_ang",260,100
"typ_ang",260,110
"typ_ang",260,120
"typ_ang",260,130
"typ_ang",260,140
"typ_ang",260,150
"typ_ang",260,160
"typ_ang",260,170
"typ_ang",260,180
"typ_ang",260,190
"typ_ang",260,200
"typ_ang",260,210
"typ_ang",260,220
"typ_ang",270,60
"typ_ang",270,70
"typ_ang",270,80
"typ_ang",270,90
"typ_ang",270,100
"typ_ang",270,110
"typ_ang",270,120
"typ_ang",270,130
"typ_ang",270,140
"typ_ang",270,150
"typ_ang",270,160
"typ_ang",270,170
"typ_ang",270,180
"typ_ang",270,190
"typ_ang",270,200
"typ_ang",270,210
"typ_ang",270,220
